@relation camelA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2

@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ca numeric
@attribute npm numeric
@attribute loc numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {FALSE,TRUE}

@data
3,0,18,191,4,18,312,5,2,FALSE
1,0,5,55,2,10,86,0,1,FALSE
6,0,5,0,1,1,42,1,3,FALSE
5,0,2,0,1,2,22,0,1,FALSE
3,0,5,0,1,3,21,1,1,FALSE
2,0,9,124,4,13,99,3,1,FALSE
3,0,2,4,2,4,34,3,2,FALSE
1,0,3,12,2,7,100,0,4,FALSE
5,0,2,0,1,1,14,0,0,FALSE
1,0,0,0,0,1,1,0,1,FALSE
3,0,4,1,0,1,11,1,1,FALSE
3,0,17,0,2,3,133,1,2,FALSE
1,0,12,12,1,7,100,0,3,FALSE
1,0,20,1044,8,42,620,0,6,FALSE
3,0,6,13,1,4,54,1,1,FALSE
1,0,3,0,1,3,29,0,1,FALSE
5,0,1,0,0,3,33,0,1,FALSE
2,0,7,4,4,5,42,0,1,FALSE
1,0,1,0,1,4,52,0,1,FALSE
2,0,9,4,2,5,53,0,1,FALSE
1,0,3,3,1,3,10,0,1,FALSE
1,2,9,9,4,10,86,0,3,FALSE
1,0,0,0,0,0,0,0,0,FALSE
1,0,19,61,3,10,189,0,1,FALSE
3,3,10,6,10,4,20,0,0,FALSE
1,0,7,60,0,12,63,0,1,FALSE
3,0,4,10,1,2,25,2,1,FALSE
4,17,66,6,66,4,21,0,0,FALSE
2,0,12,5,2,3,70,1,1,FALSE
3,0,10,0,2,1,74,1,1,FALSE
1,0,9,21,3,7,35,0,1,FALSE
4,0,2,0,1,7,108,0,3,FALSE
3,0,4,8,1,4,36,2,1,FALSE
3,2,8,37,2,4,127,1,1,FALSE
2,0,3,1,0,2,14,0,1,FALSE
3,0,7,0,1,5,84,1,1,FALSE
5,0,4,0,2,2,23,0,1,FALSE
1,0,3,1,1,2,10,0,1,FALSE
4,0,5,15,1,5,43,0,1,FALSE
1,0,4,1,1,3,47,0,2,FALSE
3,0,9,26,1,6,81,1,2,FALSE
1,0,2,1,1,2,2,0,1,FALSE
1,0,24,7,1,5,342,0,13,FALSE
1,0,6,1,2,1,21,0,1,FALSE
0,0,7,1,1,2,48,0,1,FALSE
1,0,7,0,5,1,1,0,1,FALSE
2,0,16,30,5,9,89,1,1,FALSE
3,0,8,24,2,8,95,1,1,FALSE
3,0,8,60,1,9,101,1,3,FALSE
2,0,16,36,9,10,119,1,2,FALSE
3,0,13,0,1,5,115,0,2,FALSE
1,0,25,85,4,11,461,0,6,FALSE
1,0,1,3,0,1,221,0,1,FALSE
1,0,1,6,1,5,24,0,1,FALSE
1,0,163,231,163,22,22,0,1,FALSE
3,0,5,7,2,5,46,0,2,FALSE
1,0,2,0,1,8,146,0,4,FALSE
3,0,6,0,0,3,27,0,1,FALSE
2,0,6,17,4,7,46,0,1,FALSE
2,0,5,0,1,3,78,1,2,FALSE
2,0,7,2,3,3,112,0,1,FALSE
0,0,16,52,4,4,120,0,2,FALSE
1,0,3,0,3,1,1,0,1,FALSE
1,2,4,11,2,7,37,0,1,FALSE
3,0,21,2,2,2,272,1,2,FALSE
3,0,3,6,0,8,82,2,3,FALSE
1,0,1,0,1,1,1,0,1,FALSE
3,0,9,96,3,16,119,2,3,FALSE
2,0,11,1,1,6,126,1,2,FALSE
2,0,7,0,2,4,65,1,1,FALSE
1,0,16,85,3,13,258,0,5,FALSE
3,0,8,0,1,4,82,0,1,FALSE
1,0,6,0,1,2,32,0,1,FALSE
1,0,16,6,13,5,31,0,1,FALSE
3,0,16,43,2,8,93,1,1,FALSE
3,0,7,3,1,4,46,1,1,FALSE
1,0,4,43,1,10,124,0,3,FALSE
2,2,30,436,13,31,327,1,3,FALSE
1,0,3,4,1,3,17,0,1,FALSE
3,0,4,3,1,2,16,1,1,FALSE
1,0,23,270,2,24,127,0,1,FALSE
5,0,2,0,1,2,22,0,1,FALSE
1,3,3,0,3,4,31,0,1,FALSE
1,0,4,3,0,3,12,0,1,FALSE
4,0,8,3,0,1,50,2,1,FALSE
1,0,2,5,2,5,166,0,1,FALSE
2,0,1,3,0,3,12,2,1,FALSE
1,0,0,6,0,5,24,0,1,FALSE
2,0,12,26,3,4,190,1,3,FALSE
6,0,4,3,1,3,23,1,1,FALSE
1,0,3,0,0,22,199,0,1,FALSE
5,0,4,0,1,3,37,0,1,FALSE
3,0,17,69,5,14,142,0,2,FALSE
2,0,1,0,1,7,83,0,1,FALSE
1,0,4,7,1,7,48,0,3,FALSE
1,0,6,3,5,3,3,0,1,FALSE
6,0,3,0,1,1,13,0,0,FALSE
1,0,0,3,0,3,57,0,1,FALSE
3,2,17,77,9,11,106,1,2,FALSE
1,0,38,6427,14,111,1327,0,32,FALSE
1,0,9,45,3,8,216,0,4,FALSE
1,0,6,10,1,8,185,0,4,FALSE
1,0,7,6,1,4,39,0,1,FALSE
1,0,6,6,5,4,5,0,1,FALSE
1,0,17,0,17,1,1,0,1,FALSE
3,0,6,0,1,2,24,0,1,FALSE
1,0,7,35,2,7,380,0,5,FALSE
2,0,8,28,1,1,396,1,7,FALSE
4,0,8,26,3,8,43,1,1,FALSE
1,0,7,829,5,45,700,0,9,FALSE
1,0,16,43,1,1,248,4,10,FALSE
1,0,0,0,0,1,1,0,1,FALSE
1,7,11,24,7,5,118,0,2,FALSE
1,0,1,3,0,3,14,0,1,FALSE
2,0,13,125,3,17,162,1,3,FALSE
3,0,5,4,0,3,29,1,1,FALSE
5,0,2,3,1,3,16,0,0,FALSE
3,0,5,0,2,1,30,1,2,FALSE
1,0,4,3,4,2,201,0,9,FALSE
5,1,9,2,1,4,68,0,3,FALSE
5,1,3,0,1,1,44,1,2,FALSE
1,0,2,1,2,2,2,0,1,FALSE
3,0,4,33,1,10,58,5,1,FALSE
1,0,8,6,5,3,62,0,3,FALSE
1,0,4,24,0,5,125,0,2,FALSE
2,0,20,41,1,8,479,2,8,FALSE
1,0,5,0,0,2,30,0,1,FALSE
2,0,9,147,4,14,100,3,1,FALSE
3,0,6,3,1,2,22,1,1,FALSE
1,0,3,0,2,0,0,0,0,FALSE
1,0,6,61,2,14,81,0,1,FALSE
4,0,6,5,1,8,168,2,3,FALSE
3,0,8,3,1,4,150,1,1,FALSE
1,0,10,5,1,5,80,0,2,FALSE
1,0,63,3,62,3,3,0,1,FALSE
1,0,4,26,0,7,83,0,2,FALSE
2,0,14,0,8,6,69,1,2,FALSE
2,0,6,6,2,4,26,0,1,FALSE
3,0,4,2,1,5,40,1,2,FALSE
1,0,9,1,8,2,2,0,1,TRUE
2,0,24,75,8,11,299,1,2,TRUE
2,0,3,6,1,4,14,4,1,TRUE
3,0,8,4,1,9,92,2,2,TRUE
2,2,12,56,2,11,257,1,2,TRUE
2,1,20,999,7,39,529,1,7,TRUE
1,0,15,3,3,2,431,0,4,TRUE
3,0,8,0,1,4,56,0,1,TRUE
2,0,13,4,12,2,89,1,1,TRUE
1,0,9,122,3,16,275,0,9,TRUE
2,0,4,31,1,14,140,4,1,TRUE
4,0,4,5,0,1,99,2,2,TRUE
3,0,12,3,0,1,67,3,1,TRUE
1,0,22,0,19,1,1,0,1,TRUE
2,10,15,9,11,5,68,5,3,TRUE
4,0,6,5,1,8,168,2,3,TRUE
1,3,12,41,10,10,91,0,1,TRUE
1,0,11,45,1,9,52,0,1,TRUE
1,0,1,1,1,1,37,0,3,TRUE
3,0,8,21,2,4,66,0,2,TRUE
1,0,73,429,69,28,693,1,8,TRUE
1,0,6,112,4,14,301,0,1,TRUE
2,0,5,16,2,8,96,0,3,TRUE
1,0,8,10,5,5,5,0,1,TRUE
1,0,17,105,2,15,123,0,1,TRUE
2,3,17,55,7,15,168,3,2,TRUE
2,0,1,0,1,7,83,0,1,TRUE
1,1,10,41,4,7,799,0,14,TRUE
4,0,8,51,1,11,96,3,1,TRUE
1,0,19,30,1,7,479,0,17,TRUE
1,3,12,21,3,6,151,0,1,TRUE
1,0,17,864,8,38,523,0,4,TRUE
3,0,9,15,3,6,42,3,1,TRUE
1,27,31,49,29,7,200,0,3,TRUE
3,0,11,4,1,3,125,2,3,TRUE
2,0,2,0,2,6,52,0,1,TRUE
1,0,11,226,1,23,244,0,1,TRUE
1,0,0,1,0,2,2,0,1,TRUE
2,2,28,1836,12,50,1188,0,6,TRUE
1,0,72,171,67,19,19,0,1,TRUE
1,0,2,189,1,22,180,0,7,TRUE
1,3,6,0,3,2,34,0,2,TRUE
1,0,1,36,1,9,81,0,1,TRUE
2,0,8,28,1,1,394,1,7,TRUE
2,0,8,14,1,7,105,0,1,TRUE
1,1,15,46,7,16,444,0,8,TRUE
2,1,9,4,4,6,103,5,3,TRUE
3,0,8,4,1,9,92,2,2,TRUE
4,0,6,0,1,4,85,2,1,TRUE
2,24,36,48,26,7,139,1,2,TRUE
1,0,39,231,24,21,358,0,4,TRUE
2,0,6,3,2,3,10,0,1,TRUE
4,0,14,72,3,7,396,1,10,TRUE
1,0,8,1,6,2,2,0,1,TRUE
2,0,1,3,0,3,12,2,1,TRUE
1,0,3,0,2,3,17,0,1,TRUE
1,0,2,3,2,2,91,0,7,TRUE
2,9,15,54,10,10,98,2,2,TRUE
4,0,2,0,1,2,20,0,1,TRUE
2,0,17,289,1,25,279,0,3,TRUE
1,0,8,0,2,2,59,0,1,TRUE
2,0,6,9,1,4,75,0,2,TRUE
1,0,48,58,35,13,183,0,6,TRUE
1,0,41,435,18,29,193,0,1,TRUE
3,3,5,6,5,4,20,0,0,TRUE
3,0,7,0,1,8,86,2,1,TRUE
1,0,9,825,4,35,785,0,1,TRUE
2,0,2,0,1,1,5,0,0,TRUE
1,0,3,0,2,1,1,0,1,TRUE
1,0,4,1,4,2,2,0,1,TRUE
1,0,5,1,4,2,2,0,1,TRUE
1,0,2,189,1,22,182,0,7,TRUE
2,1,7,0,1,7,66,1,1,TRUE
3,0,9,26,1,9,214,1,8,TRUE
1,0,35,378,14,27,183,0,1,TRUE
3,0,4,30,1,9,50,5,1,TRUE
1,1,13,12,2,2,388,0,11,TRUE
2,0,7,14,1,7,101,0,1,TRUE
5,0,1,0,0,3,47,0,2,TRUE
3,0,13,129,3,16,157,1,3,TRUE
1,0,24,78,15,12,218,0,2,TRUE
2,1,8,8,2,5,82,1,1,TRUE
1,0,10,379,8,29,328,0,8,TRUE
1,0,389,325,387,26,26,0,1,TRUE
1,1,7,3,1,2,96,0,3,TRUE
3,2,5,3,3,2,17,1,1,TRUE
1,0,4,9,0,5,41,0,2,TRUE
3,0,18,263,11,24,278,2,3,TRUE
2,0,7,0,1,5,153,1,4,TRUE
2,1,50,1723,12,48,1182,1,7,TRUE
3,0,4,3,1,2,30,2,1,TRUE
1,0,7,28,0,4,237,0,11,TRUE
1,0,13,10,7,4,63,0,2,TRUE
2,0,11,0,2,3,115,2,2,TRUE
1,0,18,0,18,1,1,0,1,TRUE
2,0,13,189,2,20,232,1,1,TRUE
3,0,9,26,1,9,214,1,8,TRUE
2,0,7,0,3,1,12,0,0,TRUE
1,4,12,17,8,3,108,0,3,TRUE
1,0,7,0,2,4,31,0,1,TRUE
1,0,8,43,4,11,163,0,4,TRUE
1,0,9,1,4,3,26,0,1,TRUE
4,0,9,21,3,7,45,4,1,TRUE
1,0,4,9,1,6,75,0,4,TRUE
1,0,149,300,141,25,25,0,1,TRUE
1,0,5,0,1,3,54,0,2,TRUE
2,1,16,68,2,11,537,1,12,TRUE
1,1,7,137,1,16,183,0,2,TRUE
1,1,15,407,1,27,251,0,2,TRUE
2,0,13,201,2,21,266,1,1,TRUE
5,0,5,0,1,2,27,0,1,TRUE
3,0,7,0,1,5,84,1,1,TRUE
1,0,3,1,1,2,7,0,1,TRUE
2,0,11,26,3,6,57,0,1,TRUE
2,0,7,1,0,2,48,1,4,TRUE
3,0,6,0,4,4,52,0,2,TRUE
2,0,9,6,3,4,28,1,1,TRUE
2,1,22,400,2,25,718,1,3,TRUE
3,0,18,210,5,20,280,2,4,TRUE
4,0,4,7,1,9,120,2,1,TRUE
1,2,6,15,2,5,50,0,2,TRUE
2,0,1,3,0,3,12,2,1,TRUE
1,0,5,1,2,3,28,0,1,TRUE
1,1,4,1,2,2,5,0,1,TRUE
2,7,15,24,7,11,137,5,2,TRUE
1,0,11,37,3,11,485,0,3,TRUE
1,0,3,0,3,0,0,0,0,TRUE
1,0,7,1116,2,47,729,0,2,TRUE
2,0,11,25,3,8,73,0,1,TRUE
3,0,10,20,1,5,250,0,6,TRUE
2,0,40,32,39,7,240,1,4,TRUE
1,0,4,3,1,3,21,0,1,TRUE
1,0,4,10,4,5,5,0,1,TRUE
1,0,7,4,5,5,57,0,1,TRUE
3,0,6,0,1,4,50,6,2,TRUE
1,0,6,229,3,20,205,0,1,TRUE
1,0,31,100,5,7,741,0,10,TRUE
3,0,8,26,1,13,161,2,5,TRUE
2,0,5,4,1,3,38,0,1,TRUE
2,0,7,0,3,1,12,0,0,TRUE
3,0,3,1,0,2,11,0,0,TRUE
4,0,11,21,4,7,45,4,1,TRUE
2,0,6,4,1,3,50,0,1,TRUE
2,0,20,438,3,32,273,0,2,TRUE
2,0,13,0,2,5,142,1,3,TRUE
1,0,14,406,8,29,29,0,1,TRUE
5,0,1,0,0,3,33,0,1,TRUE
1,0,8,0,2,8,149,0,3,TRUE
3,0,8,6,4,3,28,3,1,TRUE
1,0,3,3,1,3,14,0,1,TRUE
1,0,109,697,105,36,923,0,8,TRUE
2,2,12,83,2,12,297,1,2,TRUE
4,0,3,0,0,1,13,0,0,TRUE
3,0,22,145,6,16,434,1,13,TRUE
3,0,13,43,0,6,116,2,2,TRUE
1,0,3,0,2,1,1,0,1,TRUE
1,0,4,0,1,4,35,0,1,TRUE
4,0,7,10,1,5,41,3,1,TRUE
2,0,23,161,14,20,295,6,3,TRUE
4,0,10,33,1,14,167,1,5,TRUE
1,0,12,230,0,22,318,0,3,TRUE
5,0,1,0,0,3,47,0,2,TRUE
1,0,10,0,2,2,49,0,1,TRUE
2,0,12,834,4,44,345,2,1,TRUE
3,0,8,0,2,1,161,1,6,TRUE
3,0,7,3,1,3,31,0,1,TRUE
2,12,22,17,13,7,90,1,2,TRUE
1,0,10,1,1,2,141,0,6,TRUE
3,0,10,8,2,4,61,1,3,TRUE
1,11,23,687,13,31,405,0,4,TRUE
1,0,7,28,2,7,507,0,6,TRUE
2,13,102,9792,59,130,1747,0,6,TRUE
5,0,8,0,7,2,21,0,1,TRUE
2,0,8,3,2,2,165,3,15,TRUE
2,0,11,15,4,6,44,0,1,TRUE
1,0,9,257,4,25,216,0,2,TRUE
2,0,4,3,1,2,32,0,1,TRUE
3,0,12,6,3,5,111,0,4,TRUE
1,0,23,48,1,5,614,0,8,TRUE
1,0,4,7,2,5,46,0,2,TRUE
3,0,22,814,7,39,555,2,7,TRUE
3,0,2,1,1,3,15,0,1,TRUE
1,0,5,132,1,18,341,0,30,TRUE
1,3,4,58,3,10,112,0,2,TRUE
4,0,9,0,3,9,94,3,1,TRUE
1,0,5,3,5,3,3,0,1,TRUE
2,0,23,943,9,38,1056,0,6,TRUE
1,0,4,1,2,2,2,0,1,TRUE
3,0,13,37,3,14,154,0,1,TRUE
1,15,32,139,21,16,216,1,5,TRUE
1,0,20,6,1,8,147,0,2,TRUE
1,0,4,0,2,2,33,0,2,TRUE
